id,genre
315855,Mystery
319152,Documentary
369058,Romance
369058,TV Movie
347762,Horror
325113,Drama
336167,Mystery
336167,Horror
336167,Thriller
320996,Comedy
312797,Thriller
312804,Drama
339751,Documentary
333350,Documentary
351043,Thriller
351043,Mystery
351043,Drama
351043,Horror
224972,Documentary
295595,Music
295595,Drama
295595,Documentary
295595,Crime
371758,Mystery
371758,Drama
317981,Comedy
317981,Horror
309889,Horror
309889,Thriller
333103,Comedy
263105,Drama
263105,Romance
263105,Comedy
319076,Documentary
309063,Horror
278247,Drama
355131,Documentary
355131,Science Fiction
332839,Thriller
332839,Drama
367215,Thriller
367215,Documentary
261860,Documentary
362434,Horror
371759,Drama
371759,Science Fiction
371759,Comedy
316761,Documentary
341077,Thriller
341077,Drama
341077,Action
341077,Crime
321160,Comedy
321160,Romance
330037,Family
330037,Action
330037,Drama
347944,Horror
373977,Thriller
373977,TV Movie
373977,Science Fiction
373977,Drama
279972,Thriller
279972,Mystery
279972,Horror
279972,Fantasy
306952,Comedy
306952,Drama
306952,Romance
339060,Mystery
339060,Drama
339060,History
339060,Family
339060,Thriller
362439,Horror
355600,Music
355600,Documentary
346170,Horror
346170,Thriller
308447,Animation
308447,Comedy
308447,Family
348035,Comedy
298032,Crime
298032,Thriller
298032,Action
298032,Horror
371833,Drama
371833,Horror
295886,Drama
300654,Thriller
300654,Adventure
300654,Drama
365717,Comedy
321594,Comedy
307931,Documentary
340247,Action
340247,Drama
326665,Comedy
332706,Drama
333377,Documentary
275696,Drama
326247,Drama
326247,Horror
333287,Romance
333287,Comedy
318973,Thriller
318973,Crime
318973,Documentary
273899,Drama
321039,Horror
321039,Thriller
321039,Science Fiction
345468,Drama
345468,Horror
345468,Thriller
269033,Comedy
269033,Drama
319091,Documentary
323435,Thriller
323435,Drama
323435,Fantasy
318225,Documentary
363480,Drama
363480,TV Movie
291290,Thriller
291290,Drama
352552,Documentary
343981,Documentary
366929,Romance
366929,War
366929,Documentary
366929,Drama
341051,Horror
319067,Documentary
319067,History
332177,Action
254800,Music
254800,Drama
291151,Drama
291151,Thriller
291151,Horror
291151,Mystery
332479,Science Fiction
332479,Action
332479,Animation
299780,Drama
299780,Comedy
348296,Comedy
357974,Comedy
347258,Thriller
347258,Science Fiction
312793,Science Fiction
312793,Comedy
340361,Comedy
306943,Comedy
324325,Family
324325,Documentary
321640,Documentary
309919,Thriller
309919,Mystery
309919,Horror
309919,Drama
303867,Animation
303867,Comedy
303867,Science Fiction
325365,Documentary
330916,Drama
273599,Drama
273599,Thriller
333620,Thriller
325843,Drama
325843,Comedy
253303,Horror
253303,Comedy
253303,Drama
356846,Drama
356846,TV Movie
331501,Science Fiction
331501,Mystery
331501,Horror
331501,Thriller
329289,Horror
334682,Documentary
356335,Documentary
339928,Comedy
339928,Drama
339928,Family
367735,Comedy
266764,Documentary
328346,Documentary
333346,Documentary
157336,Adventure
157336,Drama
157336,Science Fiction
118340,Action
118340,Science Fiction
118340,Adventure
100402,Action
100402,Adventure
100402,Science Fiction
245891,Action
245891,Thriller
131631,Science Fiction
131631,Adventure
131631,Thriller
122917,Adventure
122917,Fantasy
177572,Adventure
177572,Family
177572,Animation
177572,Action
177572,Comedy
205596,History
205596,Drama
205596,Thriller
205596,War
198663,Action
198663,Mystery
198663,Science Fiction
198663,Thriller
194662,Drama
194662,Comedy
210577,Mystery
210577,Thriller
210577,Drama
228150,War
228150,Drama
228150,Action
181533,Adventure
181533,Comedy
181533,Fantasy
181533,Family
157350,Action
157350,Science Fiction
157350,Thriller
127585,Action
127585,Adventure
127585,Fantasy
127585,Science Fiction
240832,Action
240832,Science Fiction
98566,Science Fiction
98566,Action
98566,Adventure
98566,Fantasy
98566,Comedy
225886,Comedy
242582,Crime
242582,Drama
242582,Thriller
91314,Science Fiction
91314,Action
91314,Adventure
120467,Comedy
120467,Drama
244786,Drama
244786,Music
119450,Science Fiction
119450,Action
119450,Drama
119450,Thriller
156022,Thriller
156022,Action
156022,Crime
227159,Comedy
102382,Action
102382,Adventure
102382,Fantasy
137113,Action
137113,Science Fiction
228967,Action
228967,Comedy
190859,War
190859,Action
147441,Adventure
147441,Drama
147441,Action
124905,Action
124905,Science Fiction
124905,Thriller
102651,Fantasy
102651,Adventure
102651,Action
102651,Family
102651,Romance
254904,Crime
254904,Action
254904,Thriller
242512,Horror
82702,Fantasy
82702,Action
82702,Adventure
82702,Animation
82702,Comedy
270303,Thriller
270303,Horror
138103,Action
138103,Adventure
138103,Thriller
137106,Adventure
137106,Fantasy
137106,Animation
137106,Comedy
137106,Action
72784,Thriller
68737,Adventure
68737,Fantasy
266856,Drama
266856,Romance
193893,Comedy
49017,Horror
49017,Action
49017,Drama
49017,Fantasy
49017,War
270946,Family
270946,Animation
270946,Adventure
270946,Comedy
224141,Fantasy
224141,Comedy
224141,Music
53182,Action
53182,War
227156,Drama
227156,Science Fiction
187017,Crime
187017,Comedy
187017,Action
169917,Crime
169917,Drama
169917,Mystery
169917,Thriller
116149,Comedy
284276,Drama
212778,Comedy
238636,Horror
238636,Thriller
218043,Thriller
218043,Action
218043,Science Fiction
85350,Drama
241239,Action
241239,Thriller
241239,Crime
241239,Drama
184315,Action
184315,Adventure
86834,Drama
86834,Adventure
205587,Drama
256092,Action
256092,Comedy
256092,Crime
232672,Comedy
195589,Comedy
249164,Drama
243683,Romance
243683,Drama
243683,Music
200727,Comedy
200727,Romance
222935,Romance
222935,Drama
244267,Science Fiction
244267,Drama
168530,Action
168530,Comedy
244761,Thriller
171274,Comedy
171274,Romance
171274,Crime
171274,Drama
171274,Mystery
137094,Action
137094,Drama
137094,Thriller
225574,Action
225574,Thriller
225574,Mystery
206487,Science Fiction
206487,Thriller
262543,Thriller
262543,Science Fiction
321068,Action
321068,Adventure
321068,Fantasy
154400,Drama
154400,Crime
97020,Science Fiction
97020,Action
157353,Thriller
157353,Science Fiction
157353,Drama
157353,Mystery
193610,Comedy
193610,Romance
82703,Animation
82703,Adventure
82703,Family
286532,Comedy
189,Crime
189,Thriller
297270,Adventure
297270,Animation
297270,Family
172385,Animation
172385,Adventure
172385,Comedy
172385,Family
100042,Comedy
204922,Mystery
204922,Thriller
152760,War
152760,Drama
152760,History
152760,Action
227306,Drama
227306,War
273895,History
273895,Drama
265177,Drama
255343,Thriller
255343,Romance
175112,Animation
175112,Family
228970,Drama
76649,Action
76649,Adventure
76649,History
76649,Romance
76649,Drama
239571,Drama
239571,Romance
196867,Music
196867,Comedy
196867,Drama
196867,Family
207933,Horror
207933,Thriller
228326,Romance
228326,Animation
228326,Adventure
228326,Comedy
228326,Family
239563,Comedy
136797,Action
136797,Crime
136797,Drama
136797,Thriller
286554,Romance
286554,Comedy
262338,Thriller
262338,Crime
262338,Action
228194,Drama
170687,Animation
170687,Comedy
170687,Family
170687,Fantasy
87093,Drama
241254,Thriller
241254,Action
246080,Adventure
110416,Family
110416,Animation
110416,Fantasy
253980,Comedy
253980,Action
253980,Drama
253980,Thriller
253980,Fantasy
242095,Thriller
242095,Science Fiction
157825,Thriller
157825,Drama
216282,Action
216282,Thriller
289720,Action
192102,Action
192102,Drama
192102,Thriller
192102,Crime
218836,Animation
218836,Comedy
218836,Adventure
218836,Family
252178,Thriller
252178,Action
252178,Drama
252178,War
144336,Action
144336,Drama
144336,Thriller
144336,Crime
188161,Comedy
188161,Western
255157,Thriller
255157,Crime
255157,Drama
171372,Comedy
171372,Drama
171372,Mystery
244506,Drama
136835,Thriller
284293,Drama
256274,Horror
256274,Thriller
87492,Drama
87492,Thriller
277547,Comedy
277547,Romance
226857,Drama
226857,Romance
157845,Crime
157845,Drama
184098,Comedy
184098,Romance
271674,Drama
271674,Romance
271674,War
192149,Thriller
187596,Comedy
181886,Thriller
181886,Mystery
250546,Horror
328763,Drama
328763,Horror
328763,Thriller
261103,Family
261103,Animation
100241,Horror
100241,Thriller
225565,Comedy
225565,Romance
192132,Drama
200505,Drama
254473,Action
254473,Crime
254473,Drama
242224,Drama
242224,Thriller
242224,Horror
226486,Comedy
286519,Drama
164251,Drama
284689,History
284689,Drama
284689,War
250066,Action
169298,Action
169298,Crime
169298,Thriller
244772,Drama
260339,Mystery
260339,Drama
260339,Action
260339,Crime
283384,Thriller
137321,Drama
137321,Fantasy
137321,Mystery
137321,Romance
234200,Drama
234200,Comedy
244264,Romance
244264,Comedy
241848,Mystery
241848,Thriller
241848,Action
259611,Western
259611,Drama
238215,Fantasy
238215,Comedy
238215,Drama
188166,Crime
188166,Thriller
253344,Comedy
256917,War
256917,Drama
171424,Horror
171424,Thriller
229297,Comedy
229297,Drama
229297,Romance
192712,Drama
192712,Action
218778,Family
218778,Comedy
239678,Drama
239678,Comedy
264656,Western
264656,Drama
294652,Action
294652,Crime
294652,Drama
294652,Thriller
244509,Drama
244509,Thriller
146015,Thriller
146015,Drama
227783,Animation
227783,Comedy
227783,Family
227783,Adventure
327833,Thriller
327833,Action
327833,Drama
151368,Thriller
151368,Action
151368,Crime
230179,Action
230179,Adventure
242076,Crime
242076,Drama
242076,Thriller
209451,Music
209451,Drama
222899,Comedy
222899,Romance
198185,Drama
231576,Drama
231576,Comedy
244539,Comedy
244539,Drama
240745,Drama
287587,Drama
287587,Comedy
285135,Science Fiction
285135,TV Movie
283350,Drama
283350,Romance
283350,Comedy
97370,Thriller
97370,Science Fiction
97370,Drama
177494,Comedy
177494,Drama
177494,Crime
254375,Adventure
254375,Drama
254375,Comedy
235260,Drama
250657,Documentary
242643,Thriller
242643,Animation
242643,Action
242643,Crime
242042,Comedy
242042,Drama
242042,Romance
217993,Animation
157834,Drama
157834,Fantasy
157834,Science Fiction
253306,Horror
253306,Comedy
253306,Thriller
288281,Thriller
232679,Drama
260202,Thriller
260202,Drama
260202,Action
260202,Mystery
256835,Animation
256835,Family
293299,Romance
293299,Comedy
293299,Animation
293299,Drama
293299,Family
289891,Drama
270302,Drama
270302,Thriller
251852,Thriller
215211,Romance
215211,Drama
177047,Drama
276844,Drama
276844,Comedy
276844,Romance
226448,Drama
226448,Romance
226448,Science Fiction
255268,Action
201086,Comedy
297596,Thriller
297596,Drama
193612,Horror
